City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.48,clear sky,-23.1203,-134.9692,Pension Maro'i
6,Ballina,AU,78.8,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
8,Saint-Philippe,RE,75.2,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Porbandar,IN,77.22,broken clouds,21.6422,69.6093,Lords Inn Porbandar
21,Victoria,HK,75.0,clear sky,22.2855,114.1577,Mini Hotel Central
22,Phan Thiet,VN,81.43,scattered clouds,10.9333,108.1,Hotel Saigon-PT
30,Lorengau,PG,83.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
31,Bambous Virieux,MU,77.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
32,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
35,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
38,Half Moon Bay,US,75.2,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
39,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
41,Avarua,CK,84.2,overcast clouds,-21.2078,-159.775,Paradise Inn
42,Isla Mujeres,MX,80.6,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
43,Nha Trang,VN,80.6,few clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
50,Hithadhoo,MV,83.44,light rain,-0.6,73.0833,Scoop Guest House
56,Vao,NC,78.1,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
60,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
62,Tezu,IN,76.95,clear sky,27.9167,96.1667,Circuit House
63,Corbelia,BR,77.0,overcast clouds,-24.7989,-53.3067,Hotel Peroza
65,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
66,Saint-Pierre,RE,75.2,few clouds,-21.3393,55.4781,Lindsey Hôtel
68,Atuona,PF,81.19,overcast clouds,-9.8,-139.0333,Villa Enata
84,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
88,Karratha,AU,86.54,broken clouds,-20.7377,116.8463,ibis Styles Karratha
90,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
93,Gambela,ET,77.86,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
98,Kalmunai,LK,78.51,overcast clouds,7.4167,81.8167,VS Villa
100,Hervey Bay,AU,80.6,clear sky,-25.2986,152.8535,Shelly Bay Resort
102,Corralillo,CU,76.77,light rain,22.9819,-80.5856,Hostal De Pedri
105,Pathein,MM,81.41,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
107,San Patricio,US,78.8,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
110,Talusan,PH,81.73,overcast clouds,7.4267,122.8103,Niesas Lodging House
114,Kavaratti,IN,83.41,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
117,Port Keats,AU,88.16,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
119,Tual,ID,80.11,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
120,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Taloa Heights
126,Eydhafushi,MV,78.89,overcast clouds,5.1033,73.0708,Soneva Fushi
141,Les Cayes,HT,76.24,clear sky,18.2,-73.75,Villa Orphee
144,Butaritari,KI,81.36,light rain,3.0707,172.7902,Isles Sunset Lodge
148,Vanimo,PG,81.93,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
150,Kununurra,AU,87.8,scattered clouds,-15.7667,128.7333,Hotel Kununurra
153,Cikupa,ID,80.6,few clouds,-6.2364,106.5083,Amaris Hotel Citra Raya - Tangerang
156,Sosua,DO,77.0,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
162,Atambua,ID,79.97,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
171,Berbera,SO,76.44,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
174,Poum,NC,80.85,few clouds,-20.2333,164.0167,Gîte kajeon
178,Daru,PG,85.84,overcast clouds,-9.0763,143.2092,Daru Lodge
182,Puerto Ayora,EC,79.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
188,Ures,MX,80.01,clear sky,29.4333,-110.4,Hotel HACIENDA San Francisco
198,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
201,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
202,Tayu,ID,81.52,scattered clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
206,San Pedro,PH,87.01,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
207,Saint-Joseph,RE,75.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
212,Gushikawa,JP,77.0,broken clouds,26.3544,127.8686,Kirari Guest House
213,Navrongo,GH,86.05,few clouds,10.8956,-1.0921,Azakka Hotel
219,Bundaberg,AU,80.6,scattered clouds,-24.85,152.35,Takalvan Motel
226,Guarapari,BR,78.8,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
229,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
230,Namatanai,PG,84.76,light rain,-3.6667,152.4333,Namatanai Hotel
232,U Thong,TH,89.01,overcast clouds,14.3751,99.8923,คงทองทิพย์รีสอร์ท
235,Eha Amufu,NG,79.11,overcast clouds,6.6592,7.7596,NYSC Corpers Lodge Umuhu
238,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
241,Hobyo,SO,79.66,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
242,Ishigaki,JP,77.0,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
244,Hirara,JP,77.0,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
251,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
256,Meulaboh,ID,76.87,overcast clouds,4.1363,96.1285,Kost Pria
259,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
265,Itarema,BR,76.01,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
267,Mahbubnagar,IN,77.22,clear sky,16.7333,77.9833,Maruthi Mess and Fast Foods
268,Kavieng,PG,85.06,light rain,-2.5744,150.7967,Nusa Island Retreat
