City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,2021-03-28 00:58:47,-33.65,115.3333,66.99,71,0,1.01,light rain
1,El Tocuyo,VE,2021-03-28 00:59:32,9.7873,-69.7937,71.98,78,100,2.8,overcast clouds
2,Rikitea,PF,2021-03-28 00:59:32,-23.1203,-134.9692,79.48,72,0,17.65,clear sky
3,Sitka,US,2021-03-28 00:59:32,57.0531,-135.33,37.4,75,75,16.11,snow
4,Dalmeny,CA,2021-03-28 00:59:33,52.3334,-106.7679,41.0,33,75,9.22,broken clouds
5,Ginda,IN,2021-03-28 00:59:33,30.6945,78.4932,62.6,77,4,3.44,mist
6,Ballina,AU,2021-03-28 00:59:33,-28.8667,153.5667,78.8,57,0,8.05,clear sky
7,Codrington,AU,2021-03-28 00:59:33,-38.2667,141.9667,65.34,57,9,10.13,clear sky
8,Saint-Philippe,RE,2021-03-28 00:59:34,-21.3585,55.7679,75.2,83,20,5.75,few clouds
9,Port Elizabeth,ZA,2021-03-28 00:59:34,-33.918,25.5701,60.8,82,0,13.8,light rain
10,Pevek,RU,2021-03-28 00:59:34,69.7008,170.3133,-4.49,88,22,6.44,few clouds
11,Porbandar,IN,2021-03-28 00:59:34,21.6422,69.6093,77.22,65,59,10.0,broken clouds
12,Port Alfred,ZA,2021-03-28 00:59:35,-33.5906,26.891,61.52,78,56,8.05,light rain
13,Qaanaaq,GL,2021-03-28 00:59:35,77.484,-69.3632,-12.82,87,100,5.88,overcast clouds
14,Hasaki,JP,2021-03-28 00:59:35,35.7333,140.8333,66.2,59,75,20.71,broken clouds
15,Aykhal,RU,2021-03-28 00:59:35,66.0,111.5,11.28,97,100,5.06,overcast clouds
16,Svetlogorsk,BY,2021-03-28 00:59:35,52.6333,29.7333,39.63,81,97,5.77,overcast clouds
17,Jucurutu,BR,2021-03-28 00:59:36,-6.0339,-37.0203,74.73,91,95,5.41,light rain
18,Punta Arenas,CL,2021-03-28 00:58:39,-53.15,-70.9167,48.2,71,0,46.04,moderate rain
19,Chokurdakh,RU,2021-03-28 00:59:36,70.6333,147.9167,3.15,85,100,6.93,overcast clouds
20,Flinders,AU,2021-03-28 00:59:36,-34.5833,150.8552,73.99,64,0,4.0,clear sky
21,Victoria,HK,2021-03-28 00:59:03,22.2855,114.1577,75.0,88,8,4.25,clear sky
22,Phan Thiet,VN,2021-03-28 00:59:36,10.9333,108.1,81.43,65,30,8.05,scattered clouds
23,Bredasdorp,ZA,2021-03-28 00:59:37,-34.5322,20.0403,50.0,87,78,5.75,broken clouds
24,Hermanus,ZA,2021-03-28 00:59:37,-34.4187,19.2345,55.99,84,34,3.0,scattered clouds
25,Portland,US,2021-03-28 00:56:18,45.5234,-122.6762,64.0,42,75,3.44,broken clouds
26,Albany,US,2021-03-28 00:55:47,42.6001,-73.9662,50.0,61,11,0.81,few clouds
27,Upernavik,GL,2021-03-28 00:58:50,72.7868,-56.1549,-29.51,94,82,5.1,broken clouds
28,San Jeronimo,PE,2021-03-28 00:59:37,-11.9472,-75.2829,49.08,84,35,5.75,scattered clouds
29,Saskylakh,RU,2021-03-28 00:59:37,71.9167,114.0833,-5.58,98,99,0.76,overcast clouds
30,Lorengau,PG,2021-03-28 00:59:38,-2.0226,147.2712,83.86,73,91,9.37,overcast clouds
31,Bambous Virieux,MU,2021-03-28 00:59:38,-20.3428,57.7575,77.0,94,75,5.75,broken clouds
32,Cayenne,GF,2021-03-28 00:59:38,4.9333,-52.3333,80.01,94,75,11.81,broken clouds
33,Yellowknife,CA,2021-03-28 00:55:48,62.456,-114.3525,24.8,46,75,11.5,broken clouds
34,Ushuaia,AR,2021-03-28 00:55:29,-54.8,-68.3,55.4,47,40,18.41,light rain
35,Vaini,TO,2021-03-28 00:59:11,-21.2,-175.2,86.0,74,75,8.05,light rain
36,Tiksi,RU,2021-03-28 00:59:39,71.6872,128.8694,7.65,94,99,2.77,overcast clouds
37,Cidreira,BR,2021-03-28 00:59:14,-30.1811,-50.2056,72.54,87,100,6.87,overcast clouds
38,Half Moon Bay,US,2021-03-28 00:59:34,37.4636,-122.4286,75.2,77,1,9.22,haze
39,Hilo,US,2021-03-28 00:58:42,19.7297,-155.09,78.8,61,90,13.8,light rain
